class,baseline_support,advanced_support,baseline_correct,advanced_correct,baseline_acc,advanced_acc,delta_advanced_minus_baseline
Corn_(maize)___healthy,117,117,117,117,1.0,1.0,0.0
Corn_(maize)___Common_rust_,120,120,119,120,0.9916666746139526,1.0,0.008333325386047363
Tomato___healthy,160,160,157,160,0.981249988079071,1.0,0.018750011920928955
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,52,52,47,48,0.9038461446762085,0.9230769276618958,0.019230782985687256
Strawberry___healthy,47,47,45,47,0.957446813583374,1.0,0.04255318641662598
Squash___Powdery_mildew,184,184,174,183,0.945652186870575,0.9945651888847351,0.048913002014160156
Tomato___Target_Spot,141,141,132,140,0.936170220375061,0.9929078221321106,0.05673760175704956
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),109,109,99,108,0.9082568883895874,0.9908257126808167,0.08256882429122925
Peach___healthy,36,36,33,36,0.9166666865348816,1.0,0.08333331346511841
Apple___Cedar_apple_rust,28,28,23,26,0.8214285969734192,0.9285714030265808,0.10714280605316162
Potato___Early_blight,100,100,83,100,0.8299999833106995,1.0,0.17000001668930054
Tomato___Bacterial_spot,214,214,169,214,0.7897196412086487,1.0,0.21028035879135132
Orange___Haunglongbing_(Citrus_greening),552,552,414,551,0.75,0.9981883764266968,0.24818837642669678
Grape___Black_rot,118,118,74,118,0.6271186470985413,1.0,0.37288135290145874
Apple___Apple_scab,63,63,39,63,0.6190476417541504,1.0,0.3809523582458496
Raspberry___healthy,38,38,23,38,0.6052631735801697,1.0,0.3947368264198303
Grape___healthy,43,43,26,43,0.604651153087616,1.0,0.39534884691238403
Strawberry___Leaf_scorch,112,112,61,112,0.5446428656578064,1.0,0.4553571343421936
Potato___healthy,16,16,8,16,0.5,1.0,0.5
Grape___Esca_(Black_Measles),139,139,66,138,0.4748201370239258,0.9928057789802551,0.5179856419563293
Tomato___Leaf_Mold,96,96,45,95,0.46875,0.9895833134651184,0.5208333134651184
Peach___Bacterial_spot,231,231,103,230,0.4458874464035034,0.9956709742546082,0.5497835278511047
Potato___Late_blight,100,100,42,99,0.41999998688697815,0.9900000095367432,0.570000022649765
Tomato___Late_blight,192,192,75,190,0.390625,0.9895833134651184,0.5989583134651184
Tomato___Early_blight,100,100,18,99,0.18000000715255737,0.9900000095367432,0.8100000023841858
Tomato___Spider_mites Two-spotted_spider_mite,169,169,29,168,0.17159762978553772,0.9940828680992126,0.8224852383136749
Tomato___Tomato_Yellow_Leaf_Curl_Virus,537,537,82,534,0.15270018577575684,0.994413435459137,0.8417132496833801
Corn_(maize)___Northern_Leaf_Blight,99,99,5,96,0.05050504952669144,0.9696969985961914,0.9191919490695
Soybean___healthy,509,509,33,506,0.06483300775289536,0.994106113910675,0.9292731061577797
Apple___healthy,165,165,8,163,0.04848484694957733,0.9878787994384766,0.9393939524888992
"Pepper,_bell___Bacterial_spot",101,101,4,100,0.039603959769010544,0.9900990128517151,0.9504950530827045
Cherry_(including_sour)___healthy,86,86,1,85,0.011627906933426857,0.9883720874786377,0.9767441805452108
Apple___Black_rot,63,63,0,63,0.0,1.0,1.0
Blueberry___healthy,151,151,0,151,0.0,1.0,1.0
Cherry_(including_sour)___Powdery_mildew,106,106,0,106,0.0,1.0,1.0
"Pepper,_bell___healthy",149,149,0,149,0.0,1.0,1.0
Tomato___Septoria_leaf_spot,178,178,0,178,0.0,1.0,1.0
Tomato___Tomato_mosaic_virus,38,38,0,38,0.0,1.0,1.0
